iter	Passed	Remaining
410	4077	4365
411	4087	4354
412	4095	4342
413	4104	4332
414	4111	4320
415	4120	4308
416	4128	4296
417	4137	4285
418	4145	4274
419	4155	4263
420	4163	4252
421	4172	4242
422	4182	4231
423	4192	4221
424	4202	4212
425	4214	4204
426	4223	4193
427	4233	4183
428	4241	4172
429	4251	4162
430	4260	4151
431	4271	4143
432	4281	4133
433	4290	4122
434	4300	4112
435	4311	4104
436	4321	4093
437	4332	4084
438	4340	4073
439	4350	4063
440	4360	4053
441	4369	4043
442	4381	4035
443	4390	4025
444	4401	4015
445	4411	4006
446	4420	3995
447	4444	3998
448	4451	3985
449	4460	3974
450	4468	3962
451	4476	3951
452	4484	3940
453	4493	3929
454	4501	3917
455	4510	3907
456	4518	3895
457	4526	3884
458	4535	3873
459	4544	3862
460	4552	3851
461	4561	3840
462	4569	3829
463	4578	3818
464	4586	3807
465	4596	3797
466	4605	3787
467	4613	3775
468	4622	3764
469	4630	3753
470	4638	3742
471	4647	3731
472	4656	3721
473	4664	3709
474	4673	3699
475	4681	3688
476	4691	3678
477	4699	3666
478	4707	3656
479	4716	3645
480	4725	3634
481	4733	3623
482	4742	3613
483	4750	3602
484	4759	3591
485	4768	3581
486	4776	3570
487	4785	3559
488	4793	3548
489	4803	3538
490	4811	3527
491	4821	3518
492	4829	3507
493	4838	3496
494	4847	3486
495	4855	3475
496	4863	3464
497	4871	3453
498	4880	3442
499	4889	3432
500	4899	3422
501	4908	3412
502	4917	3401
503	4925	3391
504	4934	3380
505	4943	3370
506	4951	3359
507	4959	3348
508	4969	3338
509	4977	3327
510	4985	3317
511	4994	3306
512	5003	3296
513	5012	3286
514	5021	3276
515	5031	3266
516	5039	3255
517	5048	3245
518	5057	3235
519	5065	3224
520	5074	3214
521	5083	3204
522	5091	3193
523	5101	3183
524	5109	3172
525	5118	3162
526	5127	3152
527	5135	3141
528	5143	3131
529	5152	3120
530	5160	3110
531	5169	3099
532	5178	3089
533	5186	3078
534	5196	3069
535	5204	3058
536	5214	3049
537	5222	3038
538	5231	3028
539	5240	3017
540	5248	3007
541	5257	2997
542	5265	2986
543	5273	2976
544	5282	2965
545	5290	2955
546	5300	2945
547	5309	2935
548	5319	2925
549	5328	2916
550	5337	2906
551	5347	2896
552	5358	2887
553	5367	2877
554	5376	2867
555	5384	2856
556	5393	2846
557	5401	2836
558	5410	2826
559	5419	2816
560	5428	2806
561	5437	2796
562	5446	2785
563	5454	2775
564	5462	2765
565	5471	2755
566	5479	2744
567	5488	2734
568	5497	2724
569	5506	2714
570	5514	2704
571	5523	2693
572	5531	2683
573	5540	2673
574	5548	2663
575	5557	2653
576	5565	2642
577	5574	2632
578	5583	2622
579	5592	2612
580	5600	2602
581	5609	2592
582	5619	2583
583	5628	2573
584	5636	2563
585	5644	2552
586	5653	2542
587	5661	2532
588	5670	2522
589	5679	2512
590	5688	2502
591	5697	2492
592	5705	2482
593	5714	2472
594	5722	2462
595	5731	2452
596	5739	2441
597	5747	2431
598	5756	2421
599	5765	2411
600	5773	2401
601	5781	2391
602	5790	2381
603	5799	2371
604	5808	2361
605	5817	2352
606	5826	2342
607	5836	2332
608	5844	2322
609	5853	2312
610	5861	2302
611	5869	2292
612	5878	2282
613	5887	2272
614	5896	2262
615	5904	2252
616	5913	2242
617	5921	2232
618	5930	2222
619	5938	2212
620	5947	2202
621	5955	2192
622	5964	2182
623	5972	2172
624	5981	2162
625	5990	2153
626	5998	2143
627	6008	2133
628	6016	2123
629	6026	2114
630	6035	2104
631	6045	2094
632	6053	2084
633	6062	2075
634	6071	2065
635	6080	2055
636	6089	2045
637	6097	2035
638	6107	2026
639	6114	2016
640	6123	2006
641	6132	1996
642	6141	1986
643	6149	1976
644	6158	1966
645	6166	1956
646	6175	1947
647	6183	1937
648	6192	1927
649	6200	1917
650	6209	1907
651	6218	1897
652	6226	1888
653	6235	1878
654	6244	1868
655	6254	1859
656	6263	1849
657	6272	1839
658	6280	1829
659	6289	1820
660	6297	1810
661	6306	1800
662	6314	1790
663	6322	1780
664	6331	1770
665	6340	1761
666	6349	1751
667	6358	1742
668	6369	1732
669	6378	1723
670	6388	1713
671	6398	1704
672	6406	1694
673	6417	1685
674	6425	1675
675	6434	1665
676	6442	1655
677	6452	1646
678	6461	1636
679	6469	1626
680	6478	1617
681	6488	1607
682	6499	1598
683	6508	1588
684	6517	1579
685	6525	1569
686	6534	1559
687	6542	1550
688	6551	1540
689	6560	1530
690	6568	1520
691	6577	1511
692	6585	1501
693	6594	1491
694	6601	1481
695	6610	1472
696	6618	1462
697	6627	1452
698	6634	1442
699	6643	1433
700	6651	1423
701	6661	1413
702	6670	1404
703	6680	1394
704	6688	1385
705	6698	1375
706	6707	1366
707	6717	1356
708	6726	1347
709	6734	1337
710	6744	1328
711	6753	1318
712	6763	1308
713	6772	1299
714	6782	1290
715	6791	1280
716	6800	1270
717	6810	1261
718	6819	1251
719	6829	1242
720	6838	1232
721	6847	1223
722	6857	1214
723	6866	1204
724	6877	1195
725	6887	1185
726	6895	1176
727	6905	1166
728	6913	1156
729	6923	1147
730	6931	1137
731	6939	1128
732	6948	1118
733	6957	1109
734	6965	1099
735	6974	1089
736	6983	1080
737	6992	1070
738	7000	1061
739	7008	1051
740	7017	1041
741	7025	1032
742	7034	1022
743	7042	1012
744	7051	1003
745	7059	993
746	7070	984
747	7078	974
748	7088	965
749	7096	955
750	7105	946
751	7114	936
752	7123	927
753	7133	917
754	7143	908
755	7153	898
756	7162	889
757	7172	879
758	7182	870
759	7191	861
760	7202	851
761	7212	842
762	7221	832
763	7232	823
764	7241	814
765	7251	804
766	7261	795
767	7270	785
768	7280	776
769	7289	766
770	7299	757
771	7308	747
772	7317	738
773	7326	728
774	7334	719
775	7343	709
776	7352	700
777	7362	690
778	7370	681
779	7380	671
780	7389	662
781	7397	652
782	7406	643
783	7416	633
784	7426	624
785	7435	614
786	7444	605
787	7453	595
788	7464	586
789	7475	577
790	7485	567
791	7494	558
792	7502	548
793	7511	539
794	7520	529
795	7529	520
796	7538	510
797	7546	501
798	7554	491
799	7562	482
800	7572	472
801	7580	463
802	7589	453
803	7597	444
804	7606	434
805	7614	425
806	7623	415
807	7632	406
808	7641	396
809	7649	387
810	7661	377
811	7675	368
812	7690	359
813	7702	350
814	7712	340
815	7722	331
816	7731	321
817	7740	312
818	7748	302
819	7756	293
820	7766	283
821	7774	274
822	7783	264
823	7792	255
824	7801	245
825	7809	236
826	7818	226
827	7826	217
828	7834	207
829	7842	198
830	7851	188
831	7859	179
832	7869	170
833	7879	160
834	7888	151
835	7897	141
836	7906	132
837	7916	122
838	7924	113
839	7932	103
840	7940	94
841	7950	84
842	7959	75
843	7967	66
844	7977	56
845	7985	47
846	7995	37
847	8003	28
848	8013	18
849	8021	9
850	8030	0
