iter	Logloss
0	0.6268251807
1	0.577887534
2	0.5494796604
3	0.5284985912
4	0.50688395
5	0.4916480049
6	0.4697837919
7	0.4612449227
8	0.4521496975
9	0.4455107372
10	0.4374858541
11	0.4256408596
12	0.4213984542
13	0.413530969
14	0.4097387885
15	0.4054019187
16	0.4006777338
17	0.3950590761
18	0.3913525008
19	0.387404489
20	0.3848137861
21	0.3808475013
22	0.3781165929
23	0.3735298281
24	0.3709918101
25	0.367979353
26	0.3658173175
27	0.3634617679
28	0.3589185169
29	0.3562714358
30	0.3539964454
31	0.3514234138
32	0.3476464061
33	0.3461786013
34	0.3443577448
35	0.3420714897
36	0.3388450697
37	0.3372535929
38	0.3348336328
39	0.3329788267
40	0.3304119966
41	0.3278458794
42	0.3247662082
43	0.322885884
44	0.3211110149
45	0.3196193091
46	0.3181461614
47	0.3162531678
48	0.3143612414
49	0.3123208824
50	0.3109819888
51	0.3082112689
52	0.3067385576
53	0.3050700414
54	0.3028744405
55	0.3003149412
56	0.2982569028
57	0.2968012205
58	0.2953958661
59	0.2938082219
60	0.2913778896
61	0.2899021349
62	0.2885431631
63	0.2870515272
64	0.2860750332
65	0.2832011067
66	0.2812642047
67	0.2797975326
68	0.2783081306
69	0.2765600008
70	0.2745918972
71	0.2728961464
72	0.2717549825
73	0.2708246662
74	0.2698036803
75	0.2680723402
76	0.2669691537
77	0.265865284
78	0.2647458893
79	0.2616275968
80	0.2601283047
81	0.2584002905
82	0.2574197587
83	0.2559986373
84	0.254468679
85	0.2534603658
86	0.2520393909
87	0.2510151803
88	0.2498465661
89	0.2480240959
90	0.2464105043
91	0.2450188987
92	0.2437655416
93	0.2423085682
94	0.2412066669
95	0.2403927369
96	0.2391767807
97	0.2375900277
98	0.2364234135
99	0.2354446108
100	0.2340432001
101	0.2329483875
102	0.2314090487
103	0.2306555084
104	0.2291854159
105	0.2272665411
106	0.226588582
107	0.2254874557
108	0.2246701285
109	0.2236509706
110	0.2223620854
111	0.2209914974
112	0.2198266047
113	0.2184356476
114	0.2175435951
115	0.2162155361
116	0.2153463419
117	0.2140733225
118	0.2134987434
119	0.2123820177
120	0.2117624246
121	0.2110443394
122	0.2103960981
123	0.2092391714
124	0.2084449918
125	0.2074985654
126	0.2067760957
127	0.2056238872
128	0.2048848411
129	0.2042799682
130	0.2032427374
131	0.2022610414
132	0.200993864
133	0.1996554318
134	0.1981798862
135	0.1974123035
136	0.1960482934
137	0.1953284161
138	0.1945596712
139	0.1939041654
140	0.1934424067
141	0.1927862022
142	0.1923392819
143	0.1914416657
144	0.1907681115
145	0.1897627405
146	0.1884330737
147	0.1875286112
148	0.1864662552
149	0.185164978
150	0.1843143356
151	0.1835243307
152	0.1826768155
153	0.1818627914
154	0.1809628827
155	0.1802959809
156	0.1794640481
157	0.178798928
158	0.1775785564
159	0.1771145076
160	0.1762531158
161	0.1751831956
162	0.1746813182
163	0.1744129666
164	0.1736125259
165	0.1726615899
166	0.1719881526
167	0.1713411496
168	0.1697720119
169	0.1689395319
170	0.1683452185
171	0.1675768604
172	0.1668389062
173	0.1663727753
174	0.1654846518
175	0.1648049103
176	0.1639261798
177	0.1629664293
178	0.1619845169
179	0.1614039384
180	0.1606381161
181	0.1596452367
182	0.1588559065
183	0.1584287577
184	0.1579278361
185	0.1574955352
186	0.157197433
187	0.1561264657
188	0.1555233731
189	0.1552527858
190	0.1544663691
191	0.1540378764
192	0.153479816
193	0.1523303145
194	0.151922982
195	0.1514277406
196	0.1510701453
197	0.150612557
198	0.1500350298
199	0.1495094134
200	0.1487895707
201	0.1479668841
202	0.1471607389
203	0.1464938527
204	0.146020074
205	0.1456456985
206	0.1452799654
207	0.1448631841
208	0.1438144188
209	0.1432710681
210	0.1424861786
211	0.141879684
212	0.1412358464
213	0.1408923934
214	0.1401798196
215	0.1396786171
216	0.1388959466
217	0.138368295
218	0.1375709307
219	0.1371587434
220	0.1362372352
221	0.1360012929
222	0.1356203202
223	0.1349483374
224	0.1344300435
225	0.1337397551
226	0.1331073723
227	0.1327419845
228	0.1319607597
229	0.1317097098
230	0.1311410379
231	0.1307410795
232	0.1300906404
233	0.1294531216
234	0.1284136844
235	0.1279038818
236	0.1276143431
237	0.1270365608
238	0.1264174315
239	0.1259443151
240	0.1254972507
241	0.1247853965
242	0.1243072238
243	0.1237647919
244	0.1232333055
245	0.122691341
246	0.1220884246
247	0.1216690437
248	0.1213231787
249	0.1208637066
250	0.1206245426
251	0.1202247789
252	0.1197770294
253	0.1192537461
254	0.1188801599
255	0.1185097448
256	0.1177833225
257	0.1174982251
258	0.1172485107
259	0.1169885325
260	0.1166909802
261	0.1162045748
262	0.1158623515
263	0.1156170865
264	0.1153470076
265	0.1148590121
266	0.1144159205
267	0.1137811995
268	0.1133855119
269	0.1127862628
270	0.1121398573
271	0.1118052832
272	0.1113072439
273	0.1109800686
274	0.1105982595
275	0.110166019
276	0.1096834464
277	0.1095052744
278	0.1092148337
279	0.1087144159
280	0.1085127034
281	0.1082958896
282	0.1078024969
283	0.107265377
284	0.1069223538
285	0.1065289591
286	0.1059839925
287	0.105743629
288	0.1053859428
289	0.1050260988
290	0.1045550932
291	0.1040463593
292	0.1037113847
293	0.1034481747
294	0.1031929732
295	0.1029948464
296	0.1022282374
297	0.1017788902
298	0.1015020141
299	0.1011037818
300	0.100666927
301	0.1002079338
302	0.1000350481
303	0.09968906376
304	0.09929087565
305	0.0989056309
306	0.09848220958
307	0.09821578218
308	0.09787464992
309	0.09755237881
310	0.09694673046
311	0.09676154952
312	0.09642231404
313	0.09620675843
314	0.09591620418
315	0.09524958881
316	0.09476962817
317	0.09447314206
318	0.09406148361
319	0.0937739165
320	0.09335598291
321	0.09318025969
322	0.09291900714
323	0.09255554278
324	0.09224238351
325	0.0919416694
326	0.09155405639
327	0.09134258158
328	0.09087488846
329	0.09065729397
330	0.09032041427
331	0.08982643335
332	0.08951134791
333	0.08913586871
334	0.08889334781
335	0.08862219412
336	0.08832062401
337	0.08805017942
338	0.08752284835
339	0.08721840999
340	0.08687491065
341	0.08654088509
342	0.08623653362
343	0.08598440476
344	0.08555751701
345	0.08527271762
346	0.08504281662
347	0.08484292728
348	0.08457234463
349	0.08432813081
350	0.08421854396
351	0.08387278723
352	0.08365732321
353	0.08340780201
354	0.0831084985
355	0.08275475777
356	0.08249192694
357	0.08212978838
358	0.0818687268
359	0.08171394581
360	0.08145143253
361	0.08132931773
362	0.08087423721
363	0.0802898859
364	0.08006688385
365	0.07973834699
366	0.07948248605
367	0.07916921868
368	0.07900394211
369	0.07874077419
370	0.07844690382
371	0.07823889406
372	0.07792279045
373	0.07780605107
374	0.07758575803
375	0.07729672795
376	0.07685186044
377	0.07652699677
378	0.07631366906
379	0.07607598144
380	0.0758367083
381	0.07557898744
382	0.07525753488
383	0.07498443887
384	0.07474372033
385	0.07445418283
386	0.07419568909
387	0.07404523047
388	0.07375193523
389	0.07351629964
390	0.07323491991
391	0.07304562184
392	0.07277511001
393	0.07272097263
394	0.07254625908
395	0.07238909476
396	0.07222015431
397	0.07211731991
398	0.07178051812
399	0.0716738527
400	0.07139205589
401	0.07125935875
402	0.07097136319
403	0.07076466581
404	0.07058944104
405	0.07026217627
406	0.07008787569
407	0.06990900919
408	0.06976750013
409	0.06959592808
410	0.06930268867
411	0.06913534579
412	0.06884273318
413	0.06859767776
414	0.06841184906
415	0.06818324666
416	0.06795198342
417	0.06774445479
418	0.06751474375
419	0.0671894759
420	0.06695355493
421	0.06669015279
422	0.06647525552
423	0.0662631545
424	0.06607804795
425	0.0657901301
426	0.06565021548
427	0.06547909152
428	0.06526991375
429	0.06517466899
430	0.06503552651
431	0.0648024254
432	0.06458500348
433	0.06441546317
434	0.06421145956
435	0.06409889675
436	0.06398230436
437	0.06380369227
438	0.06363967868
439	0.06338939153
440	0.06323197078
441	0.06305235158
442	0.0628584366
443	0.06263188046
444	0.06249116252
445	0.06234077622
446	0.06224172708
447	0.06200949242
448	0.06173355682
449	0.06166494079
450	0.06162602997
451	0.06144700547
452	0.06127563345
453	0.06114337855
454	0.06098268212
455	0.06080518469
456	0.06048346275
457	0.06032301327
458	0.06019301554
459	0.06000622314
460	0.05992859116
461	0.05982214725
462	0.05966714222
463	0.05956085484
464	0.05950254745
465	0.05937997565
466	0.05920432992
467	0.05907857592
468	0.05902240591
469	0.05882720476
470	0.05869982108
471	0.0585484059
472	0.05843554595
473	0.05834082972
474	0.0582268045
475	0.05805371327
476	0.05789768392
477	0.0576951092
478	0.05756647135
479	0.05729137526
480	0.05715156936
